Title,Year,Hours,Horsepower,Location,Price,URL
"Tym 49 PS TYM / Branson 5025C STV – EU Stage V (Rußpartikelfilter) Allrad Traktor, Kabine, Stoll Frontlader mit Parallelführung, Euro-Aufnahme, Erdschaufel, Klimaanlage, Radialbereifung 280/70 R18 // 380/70 R28, Farbe Rot",2023,"49
                                                                                                    hp",N/A,"Germany,            , Thüringen","27,999 €",https://www.agriaffaires.co.uk/new/farm-tractor/45027983/tym-49-ps-tym-branson-5025c-stv-ndash-eu-stage-v-ru-partikelfilter-allrad-traktor-kabine-stoll-frontlader-mit-parallelfuhrung-euro-aufnahme-erdschaufel-klimaanlage-radialbereifung-280-70-r18-380-70-r28-farbe-rot.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Avenger 26 Allrad 26 PS Traktor Schlepper o. Kabine Rasen- oder Industriebereifung,2024,"26
                                                                                                    hp",N/A,"Germany,            , Thüringen","10,499 €",https://www.agriaffaires.co.uk/new/farm-tractor/44941892/avenger-26-allrad-26-ps-traktor-schlepper-o-kabine-rasen-oder-industriebereifung.html
Avenger 26 Allrad 26 PS Traktor Schlepper o. Kabine Frontlader 3.Steuerkreis Rasen- oder Industriebereifung,2024,"26
                                                                                                    hp",N/A,"Germany,            , Thüringen","14,285 €",https://www.agriaffaires.co.uk/new/farm-tractor/44941884/avenger-26-allrad-26-ps-traktor-schlepper-o-kabine-frontlader-3-steuerkreis-rasen-oder-industriebereifung.html
Yto 70 PS YTO Traktor / Schlepper NMF704C Frontlader Kabine Klima Radial 2-Kreis Druckluft,2023,"70
                                                                                                    hp",N/A,"Germany,            , Thüringen","29,410 €",https://www.agriaffaires.co.uk/new/farm-tractor/44838522/yto-70-ps-yto-traktor-schlepper-nmf704c-frontlader-kabine-klima-radial-2-kreis-druckluft.html
Valtra G135 Versu,2021,"150
                                                                                                    h","135
                                                                                                    hp",Luxembourg,"77,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44704468/valtra-g135-versu.html
Case IH Puma 215,2015,"4,350
                                                                                                    h","215
                                                                                                    hp","France,            , Normandie              (Eure)","75,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44362766/case-ih-puma-215.html
Valtra S374,2022,"1,350
                                                                                                    h","370
                                                                                                    hp","France,            , Normandie              (Eure)","170,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44616101/valtra-s374.html
Valtra T 175 EA ACTIVE,2022,"250
                                                                                                    h","240
                                                                                                    hp","Germany,            , Niedersachsen","119,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086729/valtra-t-175-ea-active.html
John Deere 6090M PowerGard Garantie bis 16.06.2026,2023,"90
                                                                                                    hp",N/A,"Germany,            , Bayern",N/A N/A,https://www.agriaffaires.co.uk/new/farm-tractor/45086577/john-deere-6090m-powergard-garantie-bis-16-06-2026.html
Fendt 313 VARIO GEN4 PROFI+ SET. 2,2022,"110
                                                                                                    h","133
                                                                                                    hp","Germany,            , Bayern","122,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086575/fendt-313-vario-gen4-profi-set-2.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fendt 1050 VARIO GEN2 PROFI PLUS,2020,"4,542
                                                                                                    h","500
                                                                                                    hp","Germany,            , Bayern","239,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086574/fendt-1050-vario-gen2-profi-plus.html
Fendt 211 S VARIO GEN3,2022,"970
                                                                                                    h","124
                                                                                                    hp","Germany,            , Bayern","92,353 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086566/fendt-211-s-vario-gen3.html
John Deere 6150 R  #804,2015,"5,552
                                                                                                    h","149
                                                                                                    hp","Germany,            , Bayern","57,899 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086561/john-deere-6150-r-804.html
Lindner LINTRAC 100,2021,"170
                                                                                                    h","117
                                                                                                    hp","Germany,            , Bayern","91,765 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086542/lindner-lintrac-100.html
New Holland TS 110 A,2006,"6,200
                                                                                                    h","110
                                                                                                    hp","Germany,            , Hessen","29,900 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086480/new-holland-ts-110-a.html
New Holland TD 5.85,2016,"1,800
                                                                                                    h","86
                                                                                                    hp","Germany,            , Hessen","28,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086478/new-holland-td-5-85.html
Tym TS 255 H,"24
                                                                                                    hp",N/A,N/A,"Germany,            , Niedersachsen","15,504 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086457/tym-ts-255-h.html
Deutz-Fahr 6160.4P Agrotron,2014,"4,000
                                                                                                    h","154
                                                                                                    hp","Germany,            , Mecklenburg-Vorpommern","63,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086450/deutz-fahr-6160-4p-agrotron.html
Fendt 826 Vario Profi Plus S4,2020,"3,640
                                                                                                    h","260
                                                                                                    hp","Germany,            , Mecklenburg-Vorpommern","136,800 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086424/fendt-826-vario-profi-plus-s4.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Case IH MX 180,1999,"7,500
                                                                                                    h","180
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Vienne)","26,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086423/case-ih-mx-180.html
Case IH PUMA 225 CVX,2011,"6,980
                                                                                                    h","225
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Vienne)","46,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086422/case-ih-puma-225-cvx.html
John Deere 6830 PREMIUM,2011,"7,200
                                                                                                    h","160
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Vienne)","49,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086421/john-deere-6830-premium.html
John Deere 6175R,2019,"2,850
                                                                                                    h","175
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Vienne)","135,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086420/john-deere-6175r.html
John Deere 6195R FT4,2017,"3,800
                                                                                                    h","195
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Vienne)","92,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086419/john-deere-6195r-ft4.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 6140R*,2015,"3,857
                                                                                                    h","140
                                                                                                    hp","Germany,            , Niedersachsen","75,800 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086417/john-deere-6140r.html
Fendt 612 LSA Turbomatik E,1987,"120
                                                                                                    hp",N/A,"Germany,            , Niedersachsen","21,900 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086416/fendt-612-lsa-turbomatik-e.html
New Holland T5.120 EC,2017,N/A,N/A,Denmark,"46,922 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086336/new-holland-t5-120-ec.html
Deutz-Fahr 6130 TTV,2020,"1,500
                                                                                                    h","133
                                                                                                    hp","Germany,            , Bayern","72,269 €",https://www.agriaffaires.co.uk/used/farm-tractor/45057926/deutz-fahr-6130-ttv.html
Case 5130,1994,"10,300
                                                                                                    h","100
                                                                                                    hp","France,            , Occitanie              (Aveyron)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45032510/case-5130.html
Massey Ferguson 7720,2017,"6,200
                                                                                                    h","200
                                                                                                    hp","France,            , Occitanie              (Aveyron)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44336902/massey-ferguson-7720.html
Massey Ferguson 7724 EFF,2019,"2,500
                                                                                                    h","240
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Cantal)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44395249/massey-ferguson-7724-eff.html
Massey Ferguson 7716 DYNA 6,2019,"2,550
                                                                                                    h","160
                                                                                                    hp","France,            , Occitanie              (Aveyron)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44478469/massey-ferguson-7716-dyna-6.html
Massey Ferguson 7720S,2019,"5,750
                                                                                                    h","200
                                                                                                    hp","France,            , Occitanie              (Aveyron)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44661579/massey-ferguson-7720s.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Claas ARION 620,2017,"3,600
                                                                                                    h","157
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Cantal)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44804120/claas-arion-620.html
Massey Ferguson 6713s Dyna 6,2019,"3,000
                                                                                                    h","130
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Cantal)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44566174/massey-ferguson-6713s-dyna-6.html
Fiat 680DT,1979,"14,000
                                                                                                    h","70
                                                                                                    hp","France,            , Occitanie              (Aveyron)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44816936/fiat-680dt.html
Case 833,1988,"7,500
                                                                                                    h","80
                                                                                                    hp","France,            , Occitanie              (Aveyron)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44816958/case-833.html
Claas ARION 450,2018,"4,300
                                                                                                    h","125
                                                                                                    hp","France,            , Occitanie              (Aveyron)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44804907/claas-arion-450.html
Fendt 314 Vario Profi + Setting 2,2023,"1,500
                                                                                                    h","150
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Charente)","118,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45004684/fendt-314-vario-profi-setting-2.html
Fendt 514 PROFI PLUS,2018,"5,800
                                                                                                    h","140
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Cantal)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44858607/fendt-514-profi-plus.html
Claas ARION 650 St4 HEXA,2018,"3,224
                                                                                                    h","185
                                                                                                    hp","Germany,            , Sachsen-Anhalt",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45086317/claas-arion-650-st4-hexa.html
Case IH PUMA CVX 220,2021,"3,900
                                                                                                    h",N/A,"France,            , Normandie              (Manche)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45086307/case-ih-puma-cvx-220.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Case IH PUMA CVX 185,2022,"2,484
                                                                                                    h",N/A,"France,            , Normandie              (Manche)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45086306/case-ih-puma-cvx-185.html
John Deere 6125R,2013,"5,422
                                                                                                    h","140
                                                                                                    hp","Germany,            , Niedersachsen","72,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086305/john-deere-6125r.html
Landini 5-110D HC T4i Arceau,2018,"3,000
                                                                                                    h","110
                                                                                                    hp","France,            , Occitanie              (Lot)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45086288/landini-5-110d-hc-t4i-arceau.html
Valtra N134H5,2015,"7,000
                                                                                                    h","135
                                                                                                    hp","France,            , Occitanie              (Lot)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45086286/valtra-n134h5.html
Valtra N174 direct,2017,"4,201
                                                                                                    h","175
                                                                                                    hp","France,            , Occitanie              (Lot)","80,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086282/valtra-n174-direct.html
Claas NEXOS  230 VL,2014,"6,000
                                                                                                    h",N/A,"France,            , Bourgogne-Franche-Comté              (Haute-Saône)","19,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45075143/claas-nexos-230-vl.html
Deutz-Fahr AGROTRON M650 PROFILINE,2011,"185
                                                                                                    hp",N/A,Belgium,N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44994679/deutz-fahr-agrotron-m650-profiline.html
Achète tout tracteurs Deutz - en bon état/accidenté/brûlé,"Belgian company - HOOGSTEYNS SPRL - 
Deutz-Fahr dealer for over 40 years
We BUY:
Deutz tractors in good working order, or not working, burned or damaged
From série 06 , 07 , Agrostar, Agroprima, A...",N/A,N/A,Belgium,N/A,https://www.agriaffaires.co.uk/wanted/farm-tractor/42871382/ach-te-tout-tracteurs-deutz-en-bon-tat-accident-br-l.html
Deutz-Fahr AGROTRON M640 Profiline,2012,"8,024
                                                                                                    h","180
                                                                                                    hp",Belgium,N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44988712/deutz-fahr-agrotron-m640-profiline.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deutz-Fahr AGROTRON M620 PROFILINE,2009,"163
                                                                                                    hp",N/A,Belgium,N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44994478/deutz-fahr-agrotron-m620-profiline.html
Deutz-Fahr D7207C,1983,N/A,N/A,Belgium,N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44988772/deutz-fahr-d7207c.html
Deutz-Fahr AGROTRON M600 DCR,2010,"4,800
                                                                                                    h","131
                                                                                                    hp",Belgium,N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44994543/deutz-fahr-agrotron-m600-dcr.html
Deutz-Fahr AGROTRON 130,2005,"7,254
                                                                                                    h","128
                                                                                                    hp",Belgium,N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44914484/deutz-fahr-agrotron-130.html
Deutz-Fahr D9006,1970,"8,944
                                                                                                    h","92
                                                                                                    hp",Belgium,N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44892887/deutz-fahr-d9006.html
Deutz-Fahr AGROTRON 6210 CSHIFT,2015,"3,170
                                                                                                    h","209
                                                                                                    hp",Belgium,N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44867458/deutz-fahr-agrotron-6210-cshift.html
Deutz-Fahr Agrotron 6150 C-Shift,2014,"5,200
                                                                                                    h","149
                                                                                                    hp",Belgium,N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44867245/deutz-fahr-agrotron-6150-c-shift.html
John Deere 6150 R  #805,2015,"5,391
                                                                                                    h","110
                                                                                                    hp","Germany,            , Bayern","44,900 €",https://www.agriaffaires.co.uk/auction/farm-tractor/45086222/john-deere-6150-r-805.html
John Deere 6190  R  # 806,2015,"5,511
                                                                                                    h","140
                                                                                                    hp","Germany,            , Bayern","60,000 €",https://www.agriaffaires.co.uk/auction/farm-tractor/45086221/john-deere-6190-r-806.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mc Cormick MC 120,2005,"9,759
                                                                                                    h","120
                                                                                                    hp","France,            , Hauts-de-France              (Somme)","22,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44457850/mc-cormick-mc-120.html
Claas ARION 630 CIS,2009,"5,928
                                                                                                    h","140
                                                                                                    hp","France,            , Hauts-de-France              (Somme)","37,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44457754/claas-arion-630-cis.html
John Deere 6100M,2023,"100
                                                                                                    hp",N/A,"Germany,            , Baden-Württemberg","73,500 €",https://www.agriaffaires.co.uk/new/farm-tractor/45086187/john-deere-6100m.html
New Holland T7 175 AUTO COMMAND,2016,"5,700
                                                                                                    h",N/A,"France,            , Hauts-de-France              (Nord)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/43791684/new-holland-t7-175-auto-command.html
Fendt 824 PROFI PLUS,2015,"4,500
                                                                                                    h","240
                                                                                                    hp","France,            , Centre-Val de Loire              (Cher)","138,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44605462/fendt-824-profi-plus.html
Valtra T175 ACTIVE,2022,"2,200
                                                                                                    h","175
                                                                                                    hp","France,            , Hauts-de-France              (Pas-de-Calais)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44751345/valtra-t175-active.html
Valtra T155Active,2022,"1,100
                                                                                                    h","150
                                                                                                    hp","France,            , Hauts-de-France              (Nord)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44739946/valtra-t155active.html
Valtra T174 DIRECT,2016,"6,540
                                                                                                    h","180
                                                                                                    hp","France,            , Hauts-de-France              (Pas-de-Calais)","65,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44637485/valtra-t174-direct.html
Valtra T234 VERSU,2018,"3,400
                                                                                                    h","235
                                                                                                    hp","France,            , Hauts-de-France              (Pas-de-Calais)","115,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44549716/valtra-t234-versu.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Valtra T161 Hitech,2011,"6,120
                                                                                                    h","160
                                                                                                    hp","France,            , Hauts-de-France              (Pas-de-Calais)","37,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45085440/valtra-t161-hitech.html
John Deere 6170M,2013,"4,900
                                                                                                    h","170
                                                                                                    hp","France,            , Hauts-de-France              (Nord)","65,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45081121/john-deere-6170m.html
New Holland NH T7210 AC,2021,"3,500
                                                                                                    h",N/A,"France,            , Hauts-de-France              (Nord)","90,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45081066/new-holland-nh-t7210-ac.html
Valtra A104,2019,"2,500
                                                                                                    h","105
                                                                                                    hp","France,            , Hauts-de-France              (Nord)","45,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45081139/valtra-a104.html
Deutz-Fahr AGROTRON TTV 610,2013,"5,200
                                                                                                    h","165
                                                                                                    hp","France,            , Hauts-de-France              (Pas-de-Calais)","60,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44998678/deutz-fahr-agrotron-ttv-610.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Holland T7-260 POWER COMMAND,2013,"4,200
                                                                                                    h","240
                                                                                                    hp","France,            , Hauts-de-France              (Pas-de-Calais)","60,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44979465/new-holland-t7-260-power-command.html
Valtra T214 DIRECT,2017,"5,600
                                                                                                    h","210
                                                                                                    hp","France,            , Hauts-de-France              (Pas-de-Calais)","75,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44994566/valtra-t214-direct.html
Valtra T214V,2015,"3,200
                                                                                                    h","210
                                                                                                    hp","France,            , Hauts-de-France              (Pas-de-Calais)","79,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44994578/valtra-t214v.html
John Deere 6175R,2016,"4,460
                                                                                                    h","175
                                                                                                    hp","France,            , Hauts-de-France              (Pas-de-Calais)","88,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44905653/john-deere-6175r.html
Valtra N103,2013,"6,000
                                                                                                    h","100
                                                                                                    hp","France,            , Hauts-de-France              (Nord)","33,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44898785/valtra-n103.html
Claas ARION 650 CEBIS,2014,"5,800
                                                                                                    h",N/A,"France,            , Hauts-de-France              (Pas-de-Calais)","48,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/44857299/claas-arion-650-cebis.html
Valtra T175 VERSU AVEC AUTOGUIDAGE RTK,2022,"770
                                                                                                    h",N/A,"France,            , Hauts-de-France              (Pas-de-Calais)","126,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44854081/valtra-t175-versu-avec-autoguidage-rtk.html
Fendt 724 VARIO S4 PROFI PLUS,2016,"5,479
                                                                                                    h","239
                                                                                                    hp","Germany,            , Niedersachsen","124,900 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086139/fendt-724-vario-s4-profi-plus.html
Fendt 724,2013,"11,600
                                                                                                    h","240
                                                                                                    hp","Germany,            , Nordrhein-Westfalen","69,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086126/fendt-724.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
International 553,1974,"9,000
                                                                                                    h","57
                                                                                                    hp","France,            , Grand Est              (Meurthe-et-Moselle)","1,400 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086104/international-553.html
Mc Cormick X4.60,2020,"1,558
                                                                                                    h","100
                                                                                                    hp","France,            , PACA              (Var)","38,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45011172/mc-cormick-x4-60.html
Fendt 916 Vario,2001,N/A,N/A,Netherlands,N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45085779/fendt-916-vario.html
Fendt 1050 PROFI+ Setting 2,2023,"963
                                                                                                    h","500
                                                                                                    hp","France,            , Occitanie              (Gard)","315,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45011081/fendt-1050-profi-setting-2.html
Fendt 930 PROFI PLUS,2019,"5,110
                                                                                                    h","300
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Charente-Maritime)","158,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45026479/fendt-930-profi-plus.html
Kubota M7173,2020,"1,529
                                                                                                    h","170
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Charente)","78,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45042187/kubota-m7173.html
Deutz-Fahr 6125C,2023,"125
                                                                                                    hp",N/A,"France,            , PACA              (Var)",N/A N/A,https://www.agriaffaires.co.uk/new/farm-tractor/44963250/deutz-fahr-6125c.html
Kubota M5-111 DTHQ,2017,"3,500
                                                                                                    h",N/A,"France,            , Occitanie              (Gard)","37,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44926003/kubota-m5-111-dthq.html
Fendt 820 TMS,2009,"7,835
                                                                                                    h",N/A,"France,            , Occitanie              (Gard)","62,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44941668/fendt-820-tms.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Solis SOLIS 50 CABINE,2024,"50
                                                                                                    hp",N/A,"France,            , Nouvelle-Aquitaine              (Gironde)","25,600 €",https://www.agriaffaires.co.uk/new/farm-tractor/44907829/solis-solis-50-cabine.html
Fendt 942 VARIO GEN6 PROFIPLUS,2019,"4,000
                                                                                                    h","420
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Charente)","215,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44917818/fendt-942-vario-gen6-profiplus.html
Fendt 720 VARIO GEN6 PROFI + SETTING 2,2021,"3,500
                                                                                                    h","200
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Charente)","151,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44756285/fendt-720-vario-gen6-profi-setting-2.html
Fendt 514 PROFI PLUS,2019,"3,900
                                                                                                    h",N/A,"France,            , Occitanie              (Gard)","97,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44528428/fendt-514-profi-plus.html
Claas ARION 620,2017,"3,479
                                                                                                    h","150
                                                                                                    hp","France,            , Occitanie              (Gard)","62,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44445887/claas-arion-620.html
Solis SOLIS 50 ARCEAU,2023,"50
                                                                                                    hp",N/A,"France,            , Nouvelle-Aquitaine              (Gironde)","22,990 €",https://www.agriaffaires.co.uk/new/farm-tractor/44466064/solis-solis-50-arceau.html
Fendt 714 SCR PROFI PLUS,2013,"7,700
                                                                                                    h","140
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Charente)","75,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44391984/fendt-714-scr-profi-plus.html
Fendt 930 VARIO GEN7 PROFI PLUS,2022,"2,500
                                                                                                    h","300
                                                                                                    hp","France,            , Nouvelle-Aquitaine              (Charente)","230,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44390891/fendt-930-vario-gen7-profi-plus.html
New Holland T7.185,2013,"6,100
                                                                                                    h",N/A,"France,            , Hauts-de-France              (Nord)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44885622/new-holland-t7-185.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fiat / Fiatagri 65.88,1992,"9,100
                                                                                                    h","65
                                                                                                    hp","France,            , Pays de la Loire              (Vendée)","19,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/45085655/fiat-fiatagri-65-88.html
Massey Ferguson 6140,1995,"5,329
                                                                                                    h","90
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Puy-de-Dôme)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45085621/massey-ferguson-6140.html
New Holland T7.260 POWER COMMAND,2016,"5,000
                                                                                                    h","215
                                                                                                    hp","France,            , Auvergne-Rhône-Alpes              (Allier)","70,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45085612/new-holland-t7-260-power-command.html
Kubota M7040 (Prix TTC),2013,"2,250
                                                                                                    h","74
                                                                                                    hp",Belgium,N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45085599/kubota-m7040-prix-ttc.html
Massey Ferguson 5710SL,2017,"5,000
                                                                                                    h","100
                                                                                                    hp","France,            , Bretagne              (Ille-et-Vilaine)","43,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/45085589/massey-ferguson-5710sl.html
Massey Ferguson 168,1985,"7,886
                                                                                                    h",N/A,Netherlands,"5,250 €",https://www.agriaffaires.co.uk/used/farm-tractor/43648436/massey-ferguson-168.html
Fiat 680 DT,1982,"7,500
                                                                                                    h","70
                                                                                                    hp","France,            , Occitanie              (Aveyron)","9,990 €",https://www.agriaffaires.co.uk/used/farm-tractor/45085583/fiat-680-dt.html
Fendt 724 S4 ProfiPlus,2017,"5,900
                                                                                                    h","240
                                                                                                    hp","Germany,            , Schleswig-Holstein","149,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/45064870/fendt-724-s4-profiplus.html
Fendt 828 S4 ProfiPlus,2017,"6,366
                                                                                                    h","280
                                                                                                    hp","Germany,            , Schleswig-Holstein","124,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/45043864/fendt-828-s4-profiplus.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Valtra S324 SmartTouch MR19,2022,"300
                                                                                                    h","320
                                                                                                    hp","Germany,            , Schleswig-Holstein","189,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44869498/valtra-s324-smarttouch-mr19.html
Deutz-Fahr 5080,2018,"678
                                                                                                    h",N/A,"Germany,            , Schleswig-Holstein","34,900 €",https://www.agriaffaires.co.uk/used/farm-tractor/45029313/deutz-fahr-5080.html
John Deere 7730,2009,"11,580
                                                                                                    h","220
                                                                                                    hp","Germany,            , Schleswig-Holstein","49,950 €",https://www.agriaffaires.co.uk/used/farm-tractor/45029308/john-deere-7730.html
Fendt 828 S4,2015,"6,950
                                                                                                    h","280
                                                                                                    hp","Germany,            , Schleswig-Holstein","96,720 €",https://www.agriaffaires.co.uk/used/farm-tractor/44869450/fendt-828-s4.html
Fendt Fendt 724 S4 Profi+,2018,"4,368
                                                                                                    h","240
                                                                                                    hp","Germany,            , Schleswig-Holstein","139,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44998072/fendt-fendt-724-s4-profi.html
Fendt 828 Vario S4,2016,"5,236
                                                                                                    h",N/A,"Germany,            , Schleswig-Holstein","99,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44983005/fendt-828-vario-s4.html
Fendt 939 S4 Profi Plus Version,2017,"5,893
                                                                                                    h","396
                                                                                                    hp","Germany,            , Schleswig-Holstein","147,500 €",https://www.agriaffaires.co.uk/used/farm-tractor/44983006/fendt-939-s4-profi-plus-version.html
John Deere 7290R,2016,"6,130
                                                                                                    h","285
                                                                                                    hp","Germany,            , Schleswig-Holstein","95,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44972194/john-deere-7290r.html
Valtra N175D,2022,"100
                                                                                                    h","165
                                                                                                    hp","Germany,            , Schleswig-Holstein","125,210 €",https://www.agriaffaires.co.uk/used/farm-tractor/44869451/valtra-n175d.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
