Title,Year,Hours,Horsepower,Location,Price,URL
John Deere 6155R,2017,"4,010
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , South East England","77,446 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086289/john-deere-6155r.html
John Deere 6R250,2023,"2,593
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , East Midlands","164,037 €",https://www.agriaffaires.co.uk/used/farm-tractor/44677334/john-deere-6r250.html
John Deere 6R 185,2023,"1,100
                                                                                                    h","185
                                                                                                    hp","United Kingdom,            , South East England","155,178 €",https://www.agriaffaires.co.uk/used/farm-tractor/44660869/john-deere-6r-185.html
Deutz-Fahr 6230TTV,540/65R30,For sale / Offers,"60
                                                                                                    kph","United Kingdom,            , South West England",N/A N/A,https://www.agriaffaires.co.uk/new/farm-tractor/44815710/deutz-fahr-6230ttv.html
John Deere 6250R,2021,"2,080
                                                                                                    h","250
                                                                                                    hp","United Kingdom,            , South East England","148,034 €",https://www.agriaffaires.co.uk/used/farm-tractor/44964689/john-deere-6250r.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
Claas Atos 350,2017,"1,544
                                                                                                    h","100
                                                                                                    hp","United Kingdom,            , North West England              (Cumbria)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45110632/claas-atos-350.html
Fendt 1050,2020,"1,780
                                                                                                    h",N/A,"United Kingdom,            , Yorkshire and the Humber",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44901323/fendt-1050.html
Massey Ferguson 135,1976,N/A,N/A,"United Kingdom,            , South East England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45073409/massey-ferguson-135.html
Massey Ferguson 35,18798z,For sale / Offers,35,"United Kingdom,            , South West England","4,858 €",https://www.agriaffaires.co.uk/used/farm-tractor/45081544/massey-ferguson-35.html
John Deere 6620,2003,"125
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","19,147 €",https://www.agriaffaires.co.uk/used/farm-tractor/45087416/john-deere-6620.html
Valtra T195A,2024,N/A,N/A,"United Kingdom,            , Yorkshire and the Humber",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44702305/valtra-t195a.html
International FARMALL H,19776Z,For sale / Offers,FARMALL H,"United Kingdom,            , South West England","3,144 €",https://www.agriaffaires.co.uk/used/farm-tractor/44809567/international-farmall-h.html
Case 280 Magnum,2011,"7,354
                                                                                                    h","280
                                                                                                    hp",Ireland,"52,000 €",https://www.agriaffaires.co.uk/used/farm-tractor/44791515/case-280-magnum.html
