Name,Address,Postal Code,Locality,Brands,Website,URL
,,,,,
CLAAS Main Donau Landtechnik-Vertrieb - Aurach,Steinauer Weg 13,91589,Aurach - Germany,CLAAS,www.suedostbayern.claas-partner.de
Landtechnik Schulze Lammers,Einsteinstraße 1a,46325,Borken - Germany,,www.schulzelammers.com
Baase Landmaschinen GmbH,Holthof 39,18513,Splietsdorf - Germany,"Amazone, Annaburger, Dal-Bo, DeLaval, John Deere, Krone, Maschio Gaspardo, Rabe, Siloking, Stihl, Weidemann",
BayWa AG GMZ Giebelstadt,An der Goldleite 1,97232,Giebelstadt - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, Valtra, CLAAS",www.baywa.de
Hölscher Landtechnik GmbH & Co. KG,Raiffeisenstr.35,48231,Warendorf - Germany,"Akpil, Fortuna, Krone, Kverneland, Massey Ferguson, Muthing, Vicon",
Calenberger Landtechnik GmbH,Calenberger Straße 37,31171,Nordstemmen - Germany,,
BayWa AG GMZ Wülfershausen,Am Angertor 8,97618,Wülfershausen - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, Valtra, CLAAS",www.baywa.de
Holland Middle East Trading BV,Park Broekheurne 16,7544 NK,Enschede - Netherlands,,
agroXX techniCCenter,Büttrup 13,59320,Ennigerloh - Germany,,
Thomas Breu e.K.,Raiffeisen Str. 2,93413,Cham - Germany,"Case IH, Demmler, Deutz-Fahr, Fendt, Krone, Kuhn, Lemken, Mengele, Mörtl, MTD, Muthing, Pöttinger, Rabe, Reform, Stoll, Wolf, CLAAS",www.breu-cham.de
CLAAS Nordostbayern GmbH & Co. KG - Schwend,Hauptstr. 2,92262,Schwend - Germany,CLAAS,www.claasboerse-sued.com
MC-AGRI GmbH,Sand 107 B,03185,Drachhausen - Germany,,
Goos OHG Landmaschinen,Hubertusstr. 4,90579,Langenzenn - Germany,,
MVMV Maschinenvertrieb Mecklenburg-Vorpommern,Am Kamp 9,17034,Neubrandenburg - Germany,,
SRB Westprignitzer Landtechnik GmbH,Schulstrasse 7 b,19357,Karstädt - Germany,,
SCHÜTTE Bernhard GmbH Landmaschinen,Am Knapp 30,34431,MARSBERG-GIERSHAGEN - Germany,John Deere,
SCHWARZ GmbH Landtechnik-Oekotech Vertrieb,Siemenstr.15,71546,ASPACH - Germany,John Deere,www.schwarz-lt.de
ForstmaschinenZentrum oHG,Zum Hutanger 3,91227,Leinburg - Germany,,www.forstmaschinenzentrum.de
