Name,Address,Postal Code,Locality,Brands,Website
CARTON SARL,BP 5,3110,BROUT VERNET - France,"Kubota, Laverda",
CLAAS AQUITAINE,ZA Bois Majou Sud,33124,AILLAS - France,CLAAS,www.tractomarket.com/aquitaine
DIFFUSION DIRECTE,1271 Route de Niort,17400,ST JEAN D'ANGELY - France,,www.diffusion-directe.fr
Le Groupe Lecoq,32 Rue de la mairie,28360,Fresnay-le-Comte - France,New Holland Agriculture,
L'Occaz Agri,LES CARRIERES,86460,AVAILLES LIMOUZINE - France,,
CLAAS RESEAU AGRICOLE PAYS DE LA LOIRE,Boulevard Pierre Lefaucheux,72230,ARNAGE - France,CLAAS,www.tractomarket.com/paysdelaloire
POTTIER SAS,43 rue montaton,53300,AMBRIERES LES VALLEES - France,,
GUEUDET AGRI SOMME - DEBOFFE,RD 1029  (route de Rouen sur GPS),80480,SALEUX - France,CLAAS,
AGRI-POLE,Route de Farrou,12200,VILLEFRANCHE DE ROUERGUE - France,"John Deere, Lemken, Merlo",www.agri-pole.com
CHEVILLARD AGRI,1096 Grande Route,1630,ST JEAN DE GONVILLE - France,"Caterpillar, Kubota, Landini, Valtra",www.chevillard-agri.com
LBMOTOCULTURE,2 BIS GRANDE RUE,51250,VILLERS LE SEC - France,,
MODEMA AGRI SAS,Le Moulin des Landes,49122,BEGROLLES EN MAUGES - France,,www.modema.fr
MECAGRI 19,79 Avenue Carnot,19200,USSEL - France,Case IH,
AJIMATERIEL CAP ALLIANCE,La Houzais,35150,CORPS NUDS - France,"Amazone, Carre, Gyrax, Jeantil, Krone, Siloking",
AGRI MONTAUBAN,780 Chemin de Faure,82000,MONTAUBAN - France,"Laverda, New Holland Agriculture",
MARTIN HVA - Groupe Balthazard,1 Route de l'Usine,88120,JULIENRUPT - France,Deutz-Fahr,
SAS MANAGER,60 AVENUE DU CHASSELAS,82200,MOISSAC - France,Fendt,www.manager-agri.fr
SN COMPTOIR AGRICOLE BASQUE,135 rue Pertikenia,64120,SAINT PALAIS - France,John Deere,
GONNIN DURIS,Route de Levroux,36100,ISSOUDUN - France,"Agrisem, Kuhn, New Holland Agriculture, Promodis",
FREULET SAS,3 Rue d'Amiens,60220,FORMERIE - France,"JCB, Kubota, Lamborghini, Same",
Centragri SA,"La Sente à Rabot
                                                                    Route de La Charité",18390,Saint-Germain du Puy - France,John Deere,
GDV AGRIVITI,RN 3,51460,COURTISOLS - France,"Deutz-Fahr, Lamborghini, Pöttinger, Same",
NOUVELLON SARL,Bois de Feugeres - RN 10,28800,BOUVILLE - France,Deutz-Fahr,www.nouvellon28.com
CLAAS BOURGOGNE,Route de Gray,21490,VAROIS & CHAIGNOT - France,CLAAS,www.tractomarket.com/bourgogne
ALFADOU SARL,Route de Baume les Dames,25360,GONSANS - France,"Deutz-Fahr, Kuhn, Same",
